Flights (All U.S. Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2016,TOTAL,"8,183,844","841,862","9,025,706"
2017,1,"645,169","71,242","716,411"
2017,2,"592,048","63,807","655,855"
2017,3,"696,983","73,651","770,634"
2017,4,"673,380","72,137","745,517"
2017,5,"706,747","72,895","779,642"
2017,6,"718,817","76,507","795,324"
2017,7,"739,541","81,408","820,949"
2017,8,"735,233","75,662","810,895"
2017,9,"652,003","60,039","712,042"
2017,10,"691,971","64,389","756,360"
2017,11,"656,939","62,616","719,555"
2017,12,"667,216","71,441","738,657"
2017,TOTAL,"8,176,047","845,794","9,021,841"
2018,1,"653,344","69,767","723,111"
2018,2,"600,492","63,466","663,958"
2018,3,"698,464","74,602","773,066"
2018,4,"695,306","72,042","767,348"
2018,5,"724,065","73,277","797,342"
2018,6,"732,292","77,394","809,686"
2018,7,"759,879","81,620","841,499"
2018,8,"756,345","77,086","833,431"
2018,9,"686,422","65,032","751,454"
2018,10,"722,634","66,557","789,191"
2018,11,"678,121","64,528","742,649"
2018,12,"691,040","73,025","764,065"
2018,TOTAL,"8,398,404","858,396","9,256,800"
2019,1,"667,538","72,265","739,803"
2019,2,"607,916","65,171","673,087"
2019,3,"729,115","77,118","806,233"
2019,4,"708,988","72,813","781,801"
2019,5,"740,482","74,788","815,270"
2019,6,"741,462","79,201","820,663"
2019,7,"768,645","82,681","851,326"
2019,8,"769,675","78,975","848,650"
2019,9,"705,071","64,280","769,351"
2019,10,"740,180","65,807","805,987"
2019,11,"694,377","64,025","758,402"
2019,12,"721,420","71,724","793,144"
2019,TOTAL,"8,594,869","868,848","9,463,717"
2020,1,"700,623","70,112","770,735"
2020,2,"660,350","64,419","724,769"
2020,3,"616,107","51,120","667,227"
2020,4,"217,262","5,018","222,280"
2020,5,"209,754","4,996","214,750"
2020,6,"272,329","7,178","279,507"
2020,7,"410,013","16,692","426,705"
2020,8,"435,302","18,142","453,444"
2020,9,"379,506","18,285","397,791"
2020,10,"410,189","23,724","433,913"
2020,11,"421,049","29,652","450,701"
2020,12,"428,768","38,852","467,620"
2020,TOTAL,"5,161,252","348,190","5,509,442"
2021,1,"408,795","40,455","449,250"
2021,2,"361,524","34,903","396,427"
2021,3,"498,276","41,696","539,972"
2021,TOTAL,"1,268,595","117,054","1,385,649"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
