Passengers (United Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2020,11,"2,588,575","541,487","3,130,062"
2020,12,"2,669,353","716,900","3,386,253"
2020,TOTAL,"29,981,082","7,863,899","37,844,981"
2021,1,"2,272,605",,
2021,2,"2,208,159",,
2021,3,"3,434,860",,
2021,TOTAL,"7,915,624",0,0
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
