Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (Southwest Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2013,12,"8,000,917",,"8,000,917"
2013,TOTAL,"90,178,339",0,"90,178,339"
2014,1,"6,671,570",,"6,671,570"
2014,2,"6,464,325",,"6,464,325"
2014,3,"8,707,146",,"8,707,146"
2014,4,"8,349,730",,"8,349,730"
2014,5,"8,668,388",,"8,668,388"
2014,6,"9,375,053",,"9,375,053"
2014,7,"9,903,006","62,864","9,965,870"
2014,8,"8,996,119","69,745","9,065,864"
2014,9,"7,840,581","48,423","7,889,004"
2014,10,"8,536,349","71,796","8,608,145"
2014,11,"8,150,602","176,475","8,327,077"
2014,12,"8,865,616","210,899","9,076,515"
2014,TOTAL,"100,528,483","640,203","101,168,686"
2015,1,"7,853,823","194,339","8,048,161"
2015,2,"7,391,116","181,189","7,572,305"
2015,3,"10,002,601","238,064","10,240,665"
2015,4,"9,658,927","239,785","9,898,712"
2015,5,"9,951,419","251,345","10,202,764"
2015,6,"10,471,378","286,425","10,757,802"
2015,7,"11,183,337","320,220","11,503,557"
2015,8,"10,119,603","223,234","10,342,837"
2015,9,"9,056,493","150,680","9,207,172"
2015,10,"9,763,638","200,295","9,963,933"
2015,11,"9,456,179","287,385","9,743,563"
2015,12,"9,703,212","318,095","10,021,307"
2015,TOTAL,"114,611,724","2,891,055","117,502,779"
2016,1,"8,645,750","296,358","8,942,108"
2016,2,"8,314,830","276,736","8,591,565"
2016,3,"10,551,170","324,255","10,875,425"
2016,4,"10,045,417","313,645","10,359,062"
2016,5,"10,532,532","326,752","10,859,284"
2016,6,"11,109,937","380,200","11,490,137"
2016,7,"11,242,391","423,659","11,666,051"
2016,8,"10,423,658","288,192","10,711,851"
2016,9,"9,733,181","205,685","9,938,867"
2016,10,"10,245,380","232,762","10,478,142"
2016,11,"10,157,213","285,862","10,443,076"
2016,12,"10,083,870","361,830","10,445,700"
2016,TOTAL,"121,085,331","3,715,938","124,801,269"
2017,1,"9,007,205","345,733","9,352,938"
2017,2,"8,373,485","314,571","8,688,056"
2017,3,"10,904,961","395,525","11,300,486"
2017,4,"10,816,086","414,526","11,230,612"
2017,5,"10,854,325","378,369","11,232,694"
2017,6,"11,466,613","453,734","11,920,347"
