Available Seat-miles (the number of seats and the distance flown in thousands (000)) (Delta Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2012,3,"9,181,519","7,147,169","16,328,688"
2012,4,"8,804,559","7,087,664","15,892,223"
2012,5,"9,038,592","7,597,462","16,636,054"
2012,6,"9,625,609","8,197,645","17,823,254"
2012,7,"10,095,748","8,604,838","18,700,586"
2012,8,"9,985,505","8,515,535","18,501,040"
2012,9,"8,890,172","7,307,434","16,197,606"
2012,10,"9,032,458","6,956,381","15,988,839"
2012,11,"8,710,857","6,012,026","14,722,883"
2012,12,"8,632,368","6,462,846","15,095,214"
2012,TOTAL,"108,015,519","86,744,628","194,760,146"
2013,1,"8,323,474","6,417,841","14,741,315"
2013,2,"7,659,052","5,920,718","13,579,770"
2013,3,"9,535,443","6,893,711","16,429,154"
2013,4,"9,115,298","7,044,473","16,159,771"
2013,5,"9,287,717","7,593,837","16,881,554"
2013,6,"9,819,064","8,381,010","18,200,074"
2013,7,"10,459,715","8,935,280","19,394,995"
2013,8,"10,364,131","8,876,177","19,240,309"
2013,9,"8,965,827","7,585,047","16,550,874"
2013,10,"9,354,786","7,317,451","16,672,237"
2013,11,"8,790,595","6,313,723","15,104,318"
2013,12,"9,030,569","6,773,884","15,804,453"
2013,TOTAL,"110,705,672","88,053,152","198,758,823"
2014,1,"8,448,707","6,734,160","15,182,867"
2014,2,"7,689,200","5,942,158","13,631,358"
2014,3,"9,962,170","7,202,161","17,164,331"
2014,4,"9,586,630","7,176,613","16,763,242"
2014,5,"9,862,656","7,828,763","17,691,419"
2014,6,"10,233,839","8,788,150","19,021,988"
2014,7,"10,814,486","9,245,833","20,060,319"
2014,8,"10,797,005","9,283,148","20,080,153"
2014,9,"9,436,715","8,188,959","17,625,673"
2014,10,"9,881,750","7,629,870","17,511,620"
2014,11,"9,231,330","6,621,916","15,853,247"
2014,12,"9,536,658","7,099,992","16,636,650"
2014,TOTAL,"115,481,144","91,741,724","207,222,868"
2015,1,"9,054,365","7,272,333","16,326,697"
2015,2,"8,364,998","6,331,540","14,696,537"
2015,3,"10,415,333","7,534,605","17,949,938"
2015,4,"10,063,949","7,747,940","17,811,889"
2015,5,"10,514,173","8,386,174","18,900,347"
2015,6,"10,929,991","8,987,728","19,917,719"
2015,7,"11,593,058","9,652,206","21,245,264"
2015,8,"11,610,204","9,677,689","21,287,892"
2015,9,"9,814,498","8,291,419","18,105,916"
2015,10,"10,304,397","7,457,958","17,762,355"
2015,11,"9,749,895","6,328,765","16,078,660"
2015,12,"10,033,897","6,961,068","16,994,965"
2015,TOTAL,"122,448,758","94,629,423","217,078,181"
2016,1,"9,574,132","7,185,124","16,759,256"
2016,2,"9,384,315","6,382,554","15,766,869"
2016,3,"11,082,316","7,284,717","18,367,033"
2016,4,"10,583,512","7,753,344","18,336,856"
2016,5,"11,143,941","8,437,944","19,581,884"
2016,6,"11,516,309","9,059,061","20,575,370"
2016,7,"12,195,664","9,599,893","21,795,557"
2016,8,"11,968,706","9,444,808","21,413,514"
2016,9,"10,245,825","8,192,057","18,437,882"
2016,10,"10,603,987","7,542,379","18,146,366"
2016,11,"10,037,897","6,046,956","16,084,854"
2016,12,"10,377,364","6,945,446","17,322,809"
2016,TOTAL,"128,713,967","93,874,282","222,588,250"
2017,1,"9,913,916","7,040,032","16,953,948"
2017,2,"9,237,384","6,111,291","15,348,675"
2017,3,"11,417,169","7,296,406","18,713,575"
2017,4,"10,572,665","7,785,869","18,358,534"
2017,5,"11,408,995","8,330,958","19,739,953"
2017,6,"11,907,511","9,220,583","21,128,094"
2017,7,"12,622,816","9,647,276","22,270,092"
2017,8,"12,585,820","9,543,918","22,129,738"
2017,9,"10,512,140","8,223,601","18,735,741"
2017,10,"11,175,537","7,765,041","18,940,578"
2017,11,"10,431,477","6,218,841","16,650,318"
2017,12,"10,550,012","7,068,373","17,618,385"
2017,TOTAL,"132,335,440","94,252,190","226,587,630"
2018,1,"10,341,773","7,202,871","17,544,644"
2018,2,"9,752,885","6,313,771","16,066,656"
2018,3,"11,965,187","7,545,571","19,510,758"
2018,4,"11,469,933","7,786,568","19,256,502"
2018,5,"11,956,435","8,641,259","20,597,694"
2018,6,"12,661,054","9,273,568","21,934,623"
2018,7,"13,445,174","9,796,783","23,241,957"
2018,8,"13,353,453","9,775,260","23,128,713"
2018,9,"11,358,251","8,442,695","19,800,947"
2018,10,"11,780,795","7,921,759","19,702,554"
2018,11,"11,040,272","6,502,481","17,542,753"
2018,12,"11,454,097","7,280,053","18,734,149"
2018,TOTAL,"140,579,310","96,482,639","237,061,948"
2019,1,"11,237,080","7,405,220","18,642,300"
2019,2,"10,190,661","6,525,586","16,716,248"
2019,3,"12,839,700","7,759,666","20,599,366"
2019,4,"12,172,141","8,145,432","20,317,573"
2019,5,"12,731,018","9,082,059","21,813,077"
2019,6,"13,404,779","9,584,777","22,989,556"
2019,7,"14,222,614","10,016,281","24,238,895"
2019,8,"14,117,869","10,020,192","24,138,061"
2019,9,"12,062,013","8,849,903","20,911,916"
2019,10,"12,658,210","8,281,160","20,939,371"
2019,11,"11,732,478","6,747,132","18,479,610"
2019,12,"12,504,628","7,404,305","19,908,933"
2019,TOTAL,"149,873,192","99,821,714","249,694,906"
2020,1,"12,343,052","7,762,576","20,105,628"
2020,2,"11,488,196","6,463,496","17,951,692"
2020,3,"10,500,692","4,362,762","14,863,454"
2020,4,"2,552,046","381,764","2,933,809"
2020,5,"2,150,343","382,772","2,533,115"
2020,6,"2,985,444","639,230","3,624,674"
2020,7,"5,700,119","1,328,923","7,029,042"
2020,8,"7,318,524","1,908,620","9,227,144"
2020,9,"6,765,424","2,013,955","8,779,379"
2020,10,"7,576,662","2,502,416","10,079,078"
2020,11,"8,062,216","2,673,590","10,735,806"
2020,12,"8,506,600","3,257,131","11,763,731"
2020,TOTAL,"85,949,318","33,677,234","119,626,551"
2021,1,"8,431,118",,
2021,2,"7,526,246",,
2021,3,"9,873,752",,
2021,TOTAL,"25,831,116",0,0
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
