Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (Delta Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2012,3,"8,084,268","5,806,742","13,891,010"
2012,4,"7,672,028","5,609,877","13,281,905"
2012,5,"7,849,846","6,277,606","14,127,451"
2012,6,"8,587,095","7,271,887","15,858,982"
2012,7,"9,045,048","7,574,082","16,619,130"
2012,8,"8,887,589","7,572,193","16,459,782"
2012,9,"7,269,093","6,412,136","13,681,229"
2012,10,"7,797,540","5,911,914","13,709,454"
2012,11,"7,363,061","4,933,609","12,296,670"
2012,12,"7,144,308","5,480,343","12,624,650"
2012,TOTAL,"92,587,543","72,531,159","165,118,702"
2013,1,"6,708,141","5,199,321","11,907,462"
2013,2,"6,316,804","4,550,577","10,867,381"
2013,3,"8,296,549","5,839,741","14,136,290"
2013,4,"7,708,816","5,640,924","13,349,740"
2013,5,"7,999,983","6,470,036","14,470,019"
2013,6,"8,637,589","7,482,236","16,119,826"
2013,7,"9,170,355","7,915,497","17,085,852"
2013,8,"9,026,730","8,013,316","17,040,046"
2013,9,"7,386,712","6,625,509","14,012,222"
2013,10,"7,828,257","6,159,740","13,987,997"
2013,11,"7,048,664","5,074,631","12,123,294"
2013,12,"7,795,266","5,824,906","13,620,172"
2013,TOTAL,"93,923,867","74,796,433","168,720,300"
2014,1,"6,946,212","5,573,571","12,519,783"
2014,2,"6,516,165","4,677,979","11,194,144"
2014,3,"8,762,361","6,039,761","14,802,122"
2014,4,"8,406,548","5,951,636","14,358,183"
2014,5,"8,729,558","6,738,297","15,467,855"
2014,6,"9,136,367","7,664,210","16,800,577"
2014,7,"9,745,064","7,967,527","17,712,591"
2014,8,"9,573,765","8,220,996","17,794,762"
2014,9,"7,974,416","7,002,108","14,976,524"
2014,10,"8,567,052","6,282,567","14,849,620"
2014,11,"7,737,248","5,186,862","12,924,111"
2014,12,"8,128,965","5,938,472","14,067,437"
2014,TOTAL,"100,223,721","77,243,987","177,467,708"
2015,1,"7,349,458","5,792,055","13,141,513"
2015,2,"7,098,437","4,810,400","11,908,836"
2015,3,"9,224,266","6,172,123","15,396,389"
2015,4,"8,777,710","6,117,043","14,894,752"
2015,5,"9,242,245","6,983,906","16,226,152"
2015,6,"9,816,846","7,807,504","17,624,350"
2015,7,"10,388,742","8,401,512","18,790,254"
2015,8,"10,212,115","8,511,696","18,723,811"
2015,9,"8,445,098","7,067,199","15,512,296"
2015,10,"9,171,126","6,387,649","15,558,775"
2015,11,"8,474,939","5,153,967","13,628,906"
2015,12,"8,636,194","5,798,714","14,434,908"
2015,TOTAL,"106,837,177","79,003,768","185,840,944"
2016,1,"7,957,176","5,865,240","13,822,416"
2016,2,"7,722,067","4,954,847","12,676,914"
2016,3,"9,644,050","6,044,195","15,688,245"
2016,4,"9,141,302","6,218,789","15,360,091"
2016,5,"9,776,320","7,010,693","16,787,013"
2016,6,"10,207,591","7,972,090","18,179,682"
2016,7,"10,648,388","8,439,891","19,088,279"
2016,8,"10,081,262","8,124,042","18,205,304"
2016,9,"8,840,392","6,875,792","15,716,185"
2016,10,"9,346,211","6,211,653","15,557,864"
2016,11,"8,847,710","4,907,438","13,755,148"
2016,12,"9,016,191","5,853,457","14,869,648"
