Year,TOTAL
2002,145060010
2003,132616583
2004,141216499
2005,136294567
2006,139521280
2007,139117887
2008,133221892
2009,119800834
2010,119171529
2011,116279921
2012,213203493
2013,210005432
2014,211954183
2015,218138240
2016,223281445
2017,233667254
2018,244417122
2019,252816292
2020,104313705
2021,15141780
