Year,TOTAL
2002,130683293
2003,119228188
2004,128700858
2005,132279165
2006,124019658
2007,126619867
2008,127645988
2009,121409126
2010,195540168
2011,197587150
2012,194760146
2013,198758823
2014,207222868
2015,217078181
2016,222588250
2017,226587630
2018,237061948
2019,249694906
2020,119626551
2021,25831116
