Year,TOTAL
2002,72447995
2003,74719340
2004,81066038
2005,88379900
2006,96276907
2007,101910809
2008,101920598
2009,101338228
2010,106227521
2011,110586815
2012,112234074
2013,115322785
2014,127194550
2015,144574606
2016,151740277
2017,157676937
2018,163605599
2019,162681011
2020,67785236
2021,17591788
