Year,TOTAL
2002,883728641
2003,884743408
2004,962094391
2005,993010840
2006,996711186
2007,1029054389
2008,1012796576
2009,949242411
2010,965310742
2011,985260993
2012,987420601
2013,1004140149
2014,1028487121
2015,1073106176
2016,1116048267
2017,1153149529
2018,1207036478
2019,1246032714
2020,642857537
2021,171380541
