Year,TOTAL
2002,612777682
2003,644234973
2004,700230727
2005,735104668
2006,741098199
2007,766626582
2008,740460933
2009,701164455
2010,717744056
2011,728368297
2012,734322469
2013,740859387
2014,761003553
2015,796914123
2016,822888623
2017,848769671
2018,888629905
2019,926438984
2020,369075569
2021,96654011
