Year,TOTAL
2002,73.65
2003,76.55
2004,79.28
2005,81.68
2006,82.21
2007,82.9
2008,81.18
2009,82.1
2010,84.24
2011,84.1
2012,83.12
2013,83.99
2014,83.77
2015,83.57
2016,82.94
2017,82.53
2018,83.74
2019,84.23
2020,59.76
2021,64.1
