Year,TOTAL
2002,640283
2003,590912
2004,605406
2005,540660
2006,554731
2007,543821
2008,504500
2009,428703
2010,394054
2011,365244
2012,685085
2013,659138
2014,650049
2015,674292
2016,704426
2017,747871
2018,784044
2019,795002
2020,353190
2021,73415
