Year,TOTAL
2002,72.43
2003,74.31
2004,75.7
2005,77.63
2006,79.03
2007,81.13
2008,82.12
2009,82.43
2010,83.95
2011,83.1
2012,84.78
2013,84.89
2014,85.64
2015,85.61
2016,85.23
2017,86.32
2018,86.17
2019,86.91
2020,55.25
2021,49.02
