Year,TOTAL
2002,71.78
2003,73.46
2004,75.48
2005,77.64
2006,79.23
2007,79.93
2008,79.54
2009,80.41
2010,82.07
2011,82.1
2012,82.8
2013,83.13
2014,83.43
2015,83.78
2016,83.42
2017,83.51
2018,83.72
2019,84.65
2020,58.77
2021,56.47
