Year,TOTAL
2002,65.88
2003,66.78
2004,69.49
2005,70.69
2006,73.05
2007,72.58
2008,71.16
2009,75.97
2010,79.29
2011,80.77
2012,80.44
2013,80.11
2014,82.52
2015,83.62
2016,84.03
2017,83.9
2018,83.43
2019,83.52
2020,52.41
2021,64.43
