Year,TOTAL
2002,68909312
2003,71803886
2004,76877343
2005,85197896
2006,92671519
2007,99644687
2008,103280990
2009,98009920
2010,98444938
2011,103810561
2012,106383628
2013,112564370
2014,122605550
2015,140512077
2016,148525244
2017,153814165
2018,159798408
2019,157258128
2020,103461328
2021,22486224
