Year,TOTAL
2002,8675945
2003,10136163
2004,10699663
2005,10825881
2006,10521442
2007,10671436
2008,10202000
2009,9542320
2010,9499044
2011,9456417
2012,9267341
2013,9152494
2014,8954422
2015,8896612
2016,9025706
2017,9021841
2018,9256800
2019,9463717
2020,5509442
2021,1385649
