Year,TOTAL
2002,106838550
2003,101523163
2004,111963229
2005,111327267
2006,114698868
2007,115331969
2008,108144924
2009,98355139
2010,100387152
2011,97788957
2012,177209281
2013,176387984
2014,177553107
2015,182306929
2016,185186545
2017,192834252
2018,204686012
2019,212940806
2020,62342826
2021,9706129
