Year,TOTAL
2002,90719899
2003,83978271
2004,86654054
2005,85823690
2006,73401004
2007,72914830
2008,71597670
2009,67694400
2010,109329792
2011,112016262
2012,114958112
2013,118933921
2014,128018335
2015,137732452
2016,142286020
2017,145227662
2018,151690243
2019,162260114
2020,55021728
2021,12091287
