Year,Month,Full-time,Part-time,Grand Total
1990,6.5,507337.0833333333,67411.25,574748.3333333334
2010,6.5,464132.0833333333,100296.5,564428.5833333334
2020,6.5,600570.1666666666,112897.5,713467.6666666666
