Year,TOTAL
2002,67275401
2003,64826746
2004,69535789
2005,65482359
2006,67976825
2007,67408231
2008,62282677
2009,55071822
2010,53032240
2011,49619083
2012,91493988
2013,89278038
2014,89871585
2015,94891627
2016,99769952
2017,107037834
2018,113154569
2019,116212143
2020,37844981
2021,7915624
