,Year,TOTAL
0,2002,73.65
1,2003,76.55
2,2004,79.28
3,2005,81.68
4,2006,82.21
5,2007,82.9
6,2008,81.18
7,2009,82.1
8,2010,84.24
9,2011,84.1
10,2012,83.12
11,2013,83.99
12,2014,83.77
13,2015,83.57
14,2016,82.94
15,2017,82.53
16,2018,83.74
17,2019,84.23
18,2020,59.76
19,2021,64.1
