Year,TOTAL
2002,45397266
2003,47948232
2004,53423655
2005,60228987
2006,67697570
2007,72325362
2008,73497807
2009,74462401
2010,78052664
2011,83852181
2012,85570154
2013,90178339
2014,101168686
2015,117502779
2016,124801269
2017,129044798
2018,133325575
2019,131348564
2020,54224085
2021,0
