,Year,TOTAL
0,2002,72.43
1,2003,74.31
2,2004,75.7
3,2005,77.63
4,2006,79.03
5,2007,81.13
6,2008,82.12
7,2009,82.43
8,2010,83.95
9,2011,83.1
10,2012,84.78
11,2013,84.89
12,2014,85.64
13,2015,85.61
14,2016,85.23
15,2017,86.32
16,2018,86.17
17,2019,86.91
18,2020,55.25
19,2021,49.02
