Year,TOTAL
2002,947490
2003,949938
2004,981674
2005,1028803
2006,1092343
2007,1160714
2008,1191154
2009,1125111
2010,1114451
2011,1145163
2012,1132447
2013,1123988
2014,1166582
2015,1267355
2016,1311139
2017,1347881
2018,1375022
2019,1367721
2020,897538
2021,188541
