,Ticker,Report Date,Fiscal Year,Fiscal Period,Shares (Basic),Revenue,Net Income,Gross Profit Margin,Net Profit Margin,Operating Margin,EPS,Interest Coverage Ratio,"Cash, Cash Equivalents & Short Term Investments",Total Assets,Total Equity,Quick Ratio,Current Ratio,Debt-to-Equity Ratio,Long Term Debt-to-Equity Ratio,Short Term Debt-to-Equity Ratio,ROE,UAL Price,PE Ratio,PS Ratio,PB Ratio
2014-04-24,UAL,2014-03-31,2014,Q1,368000000.0,8696000000.0,-609000000,0.2611545538178473,-0.07003219871205152,-0.034153633854645815,-1.6548913043478262,1.6318681318681318,5024000000.0,37185000000,2579000000.0,0.6223359560003056,0.6713008937437934,4.701046917409848,4.200853043815433,0.5001938735944165,-0.2361380379992245,41.52,-25.089261083743843,1.75705611775529,5.924528887165569
2014-07-24,UAL,2014-06-30,2014,Q2,373000000.0,10329000000.0,789000000,0.35443895827282407,0.07638687191402846,0.10407590279794753,2.1152815013404824,-5.906593406593407,5796000000.0,38447000000,3347000000.0,0.6700164991750412,0.7213889305534723,3.680908276068121,3.3026590976994323,0.3782491783686884,0.23573349268001195,44.95,21.250126742712297,1.623230709652435,5.009366596952495
2014-10-23,UAL,2014-09-30,2014,Q3,370000000.0,10563000000.0,924000000,0.35084729716936475,0.0874751491053678,0.11682287229006912,2.497297297297297,-6.932584269662922,5514000000.0,38011000000,3864000000.0,0.6627021144278606,0.7171175373134329,3.12991718426501,2.757505175983437,0.3724120082815735,0.2391304347826087,49.42,19.789393939393943,1.7310801855533466,4.732246376811594
2015-02-20,UAL,2014-12-31,2014,Q4,373400000.0,9313000000.0,28000000,0.3384516267582949,0.003006549983893482,0.08633093525179857,0.07498660953401179,-4.701754385964913,4384000000.0,36595000000,2396000000.0,0.5501279181323953,0.6033738407419251,4.986227045075125,4.392320534223706,0.593906510851419,0.011686143572621035,68.03,907.2286428571429,2.7276282615698486,10.602004173622705
2015-04-23,UAL,2015-03-31,2015,Q1,382000000.0,8608000000.0,508000000,0.36349907063197023,0.05901486988847584,0.09351765799256506,1.3298429319371727,-4.791666666666667,5608000000.0,39091000000,3008000000.0,0.6355501467535256,0.6807215978237526,4.084441489361702,3.4820478723404253,0.6023936170212766,0.16888297872340424,62.79,47.21610236220472,2.7864521375464686,7.973996010638298
2015-07-23,UAL,2015-06-30,2015,Q2,380000000.0,9914000000.0,1193000000,0.40589065967318944,0.12033487996772241,0.15130119023602986,3.139473684210526,-9.316770186335404,4985000000.0,39367000000,4122000000.0,0.589210716871832,0.6367125271542361,2.8284813197476955,2.547549733139253,0.28093158660844253,0.2894226103833091,56.68,18.05398155909472,2.172523703853137,5.225230470645318
2015-10-22,UAL,2015-09-30,2015,Q3,375000000.0,10306000000.0,4816000000,0.4395497768290316,0.46730060159130604,0.19163594022899283,12.842666666666666,-12.421383647798741,5599000000.0,41869000000,8555000000.0,0.6963967971530249,0.748591340450771,1.416832261835184,1.2474576271186442,0.16937463471654005,0.5629456458211572,56.04,4.363579734219269,2.039103434892296,2.45645821157218
2016-02-18,UAL,2015-12-31,2015,Q4,367400000.0,9036000000.0,823000000,0.40936254980079684,0.09108012394864984,0.1341301460823373,2.2400653238976593,-7.769230769230769,5196000000.0,40861000000,8966000000.0,0.5711293700660545,0.6305783792492348,1.3115101494534909,1.159937541824671,0.15157260762882,0.09179121124247155,51.93,23.182359659781287,2.1114521912350597,2.1279368726299355
2016-04-21,UAL,2016-03-31,2016,Q1,354300000.0,8195000000.0,313000000,0.3980475899938987,0.038194020744356315,0.10237949969493594,0.8834321196725938,-5.556291390728477,3972000000.0,40373000000,7840000000.0,0.48318385650224216,0.5399103139013453,1.480357142857143,1.3006377551020407,0.17971938775510204,0.0399234693877551,52.75,59.710303514376996,2.280576571079927,2.383842474489796
2016-07-19,UAL,2016-06-30,2016,Q2,330500000.0,9396000000.0,588000000,0.43635589612601106,0.06257982120051085,0.15900383141762453,1.779122541603631,-10.094594594594595,4685000000.0,40476000000,7784000000.0,0.5039336289515091,0.5610070090115863,1.466469681397739,1.2866135662898253,0.17985611510791366,0.07553956834532374,47.86,26.900901360544218,1.6834535972754363,2.0320824768756425
2016-10-17,UAL,2016-09-30,2016,Q3,320000000.0,9913000000.0,965000000,0.44376071824876423,0.09734691818823767,0.16836477352970847,3.015625,-12.272058823529411,4856000000.0,40327000000,8439000000.0,0.5378404889458991,0.6013732739757036,1.3576253110558123,1.2281075956866927,0.12951771536911957,0.11435004147410831,53.035,17.586735751295336,1.7120145263795015,2.0110439625548047
2017-02-23,UAL,2016-12-31,2016,Q4,314800000.0,9054000000.0,368000000,0.41594875193284736,0.0406450187762315,0.12005743317870554,1.1689961880559085,-5.517766497461929,4428000000.0,40140000000,8659000000.0,0.5238482825980791,0.5949047696565196,1.3517727220233284,1.2403279824460098,0.1114447395773184,0.04249913384917427,74.55,63.77266304347825,2.5920410868124586,2.710282942603072
2017-04-18,UAL,2017-03-31,2017,Q1,313700000.0,8426000000.0,99000000,0.3525990980299074,0.01174934725848564,0.04403038215048659,0.31558814153649983,-2.456953642384106,4379000000.0,41445000000,8449000000.0,0.538935397251619,0.6100142157637024,1.5200615457450586,1.421943425257427,0.09811812048763167,0.011717363001538644,67.79,214.80528282828286,2.523821860906718,2.5169514735471656
2017-07-19,UAL,2017-06-30,2017,Q2,306900000.0,10008000000.0,821000000,0.42515987210231815,0.0820343725019984,0.1479816147082334,2.6751384815900945,-9.616883116883116,4649000000.0,42307000000,8854000000.0,0.5417769932333039,0.6066490144160047,1.4866726903094647,1.3114976281906483,0.17517506211881637,0.09272645132143664,74.2,27.73688185140073,2.275377697841727,2.5719426248023494
2017-10-19,UAL,2017-09-30,2017,Q3,299800000.0,9899000000.0,645000000,0.40488938276593595,0.06515809677745227,0.12001212243660976,2.151434289526351,-7.815789473684211,4328000000.0,42565000000,8970000000.0,0.5302972415374035,0.6018950103155803,1.5544035674470458,1.3714604236343366,0.18294314381270904,0.07190635451505016,59.78,27.786114728682172,1.8104903525608647,1.9979982162764771
2018-02-22,UAL,2017-12-31,2017,Q4,290400000.0,9451000000.0,578000000,0.3700137551581843,0.06115754946566501,0.07977991746905089,1.9903581267217632,-6.732142857142857,3798000000.0,42346000000,8734000000.0,0.48648436887879026,0.5588811407976181,1.6478131440348065,1.453972979161896,0.19384016487291048,0.0661781543393634,66.71,33.51658131487889,2.0497919796846893,2.218065491183879
