,Ticker,Fiscal Year,Fiscal Period,Shares (Basic),Revenue,Net Income,Gross Profit Margin,Net Profit Margin,Operating Margin,EPS,Interest Coverage Ratio,"Cash, Cash Equivalents & Short Term Investments",Total Assets,Total Equity,Quick Ratio,Current Ratio,Debt-to-Equity Ratio,Long Term Debt-to-Equity Ratio,Short Term Debt-to-Equity Ratio,DAL Price,PE Ratio,PS Ratio,PB Ratio
2011-06-30,DAL,2011,Q2,838000000.0,9153000000.0,198000000,0.20386758439855784,0.021632251720747297,0.06828362285589425,0.23627684964200477,0.23627684964200477,3610000000.0,43188000000,897000000.0,0.6138779095300835,0.6418093983311375,47.147157190635454,14.692307692307692,2.311036789297659,11.43,48.375454545454545,1.0464700098328417,10.678193979933111
2011-09-30,DAL,2011,Q3,838000000.0,9816000000.0,549000000,0.23614506927465362,0.05592909535452323,0.08791768541157294,0.6551312649164678,0.6551312649164678,3265000000.0,43036000000,1222000000.0,0.5785048285048285,0.6101398601398601,34.217675941080195,10.275777414075286,1.5851063829787233,8.06,12.302877959927141,0.6880888345558273,5.527234042553191
2012-12-31,DAL,2012,Q4,846000000.0,8602000000.0,6000000,0.19425714950011624,0.0006975122064636131,0.054987212276214836,0.0070921985815602835,0.0070921985815602835,3374000000.0,44550000000,-2131000000.0,0.5462697814619443,0.6233609645817634,-21.905678085405913,-5.20037541060535,-0.9770061004223369,10.24,1443.8400000000001,1.0070960241804232,-4.065246363209761
2013-09-30,DAL,2013,Q3,851000000.0,10490000000.0,1369000000,0.3071496663489037,0.13050524308865585,0.15910390848427072,1.608695652173913,1.608695652173913,3977000000.0,45997000000,137000000.0,0.5602801754634216,0.6332955992641857,334.7445255474453,73.55474452554745,17.284671532846716,14.56,9.05081081081081,1.1811782650142992,90.44204379562044
2013-12-31,DAL,2013,Q4,847000000.0,9076000000.0,8479000000,0.23699867783164388,0.9342221242838255,0.09486557955046276,10.010625737898465,10.010625737898465,3803000000.0,52252000000,11643000000.0,0.606840022611645,0.6819530808366309,3.4878467748861977,0.8412780211285751,0.13286953534312462,18.85,1.882999174430947,1.7591394887615692,1.371291763291248
2014-03-31,DAL,2014,Q1,844000000.0,8916000000.0,213000000,0.22005383580080753,0.02388963660834455,0.0750336473755047,0.2523696682464455,0.2523696682464455,3658000000.0,52167000000,11641000000.0,0.5861425716189207,0.6493004663557628,3.481316038141053,0.8131603814105317,0.18744094149987114,23.6,93.51361502347417,2.2340062808434276,1.7110557512241216
2014-06-30,DAL,2014,Q2,841000000.0,10621000000.0,801000000,0.30580924583372565,0.07541662743621128,0.15149232652292627,0.9524375743162902,0.9524375743162902,4081000000.0,52191000000,12203000000.0,0.6283121835755145,0.6914984548622526,3.2768991231664346,0.7448168483159878,0.1504548061951979,26.85,28.190823970037453,2.126056868468129,1.8504343194296484
2014-09-30,DAL,2014,Q3,834000000.0,11178000000.0,357000000,0.2880658436213992,0.031937734836285564,0.12569332617641796,0.42805755395683454,0.42805755395683454,4362000000.0,51940000000,12296000000.0,0.6786606359279012,0.7422534260446905,3.2241379310344827,0.7295055302537411,0.14411190631099544,33.78,78.9146218487395,2.5203542673107893,2.2911938841899806
2014-12-31,DAL,2014,Q4,825000000.0,9647000000.0,-712000000,0.08759199751217996,-0.07380532808126879,-0.07888462734528869,-0.863030303030303,-0.863030303030303,3305000000.0,54005000000,8813000000.0,0.4930254644743871,0.5435982667537247,5.127879269261318,0.9618745035742653,0.13434698740496992,42.305,-49.01913623595505,3.6178734321550743,3.960243390445932
2015-03-31,DAL,2015,Q1,818000000.0,9388000000.0,746000000,0.30805283340434597,0.07946314443971027,0.14891350660417554,0.9119804400977995,0.9119804400977995,3569000000.0,53752000000,9046000000.0,0.6619897222703389,0.7082395057451354,4.942073844793279,0.9180853415874419,0.13939862922838825,44.2951,48.57023029490616,3.85954322539412,4.0054600707495025
2015-06-30,DAL,2015,Q2,803000000.0,10707000000.0,1485000000,0.40412814046885215,0.13869431213224992,0.23106379004389652,1.8493150684931507,1.8493150684931507,3787000000.0,52781000000,9563000000.0,0.6181945907973305,0.6697693478515396,4.519293108857053,0.7945205479452054,0.17348112516992575,33.095,17.895814814814813,2.4820477257868685,2.778969465648855
2015-09-30,DAL,2015,Q3,788000000.0,11107000000.0,1315000000,0.3844422436301432,0.118393805708112,0.1992437201764653,1.6687817258883249,1.6687817258883249,3811000000.0,53646000000,10345000000.0,0.6405043162199,0.6799750113584734,4.185693571773804,0.6859352344127598,0.16481391976800386,38.05,22.80106463878327,2.699504816782209,2.8983470275495407
2015-12-31,DAL,2015,Q4,779000000.0,9502000000.0,980000000,0.35182066933277206,0.10313618185645128,0.18438223531888023,1.258023106546855,1.258023106546855,3437000000.0,53134000000,10850000000.0,0.4769485336072121,0.5167180189432843,3.8971428571428572,0.6235944700460829,0.1440552995391705,43.07,34.236255102040815,3.5309966322879394,3.0923069124423965
