,Year,TOTAL
0,2002,65.88
1,2003,66.78
2,2004,69.49
3,2005,70.69
4,2006,73.05
5,2007,72.58
6,2008,71.16
7,2009,75.97
8,2010,79.29
9,2011,80.77
10,2012,80.44
11,2013,80.11
12,2014,82.52
13,2015,83.62
14,2016,84.03
15,2017,83.9
16,2018,83.43
17,2019,83.52
18,2020,52.41
19,2021,64.43
