Year,TOTAL
2002,634381208
2003,649953737
2004,726171973
2005,771018648
2006,789688686
2007,822499629
2008,805561497
2009,763331173
2010,792208443
2011,808864801
2012,817627683
2013,834782639
2014,858029553
2015,899034049
2016,931025627
2017,962949559
2018,1010572608
2019,1054798477
2020,377790371
2021,96779765
