Year,TOTAL
2002,94651789
2003,88593664
2004,97432315
2005,102688386
2006,98012127
2007,102721924
2008,104824682
2009,100077889
2010,164152874
2011,164189287
2012,165118702
2013,168720300
2014,177467708
2015,185840944
2016,189706790
2017,195589820
2018,204285183
2019,217001391
2020,66088373
2021,0
