Available Seat-miles (the number of seats and the distance flown in thousands (000)) (Southwest Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2013,TOTAL,"112,564,370",0,"112,564,370"
2014,1,"8,742,272",,"8,742,272"
2014,2,"8,269,473",,"8,269,473"
2014,3,"10,529,919",,"10,529,919"
2014,4,"10,228,611",,"10,228,611"
2014,5,"10,359,057",,"10,359,057"
2014,6,"10,888,866",,"10,888,866"
2014,7,"11,415,306","83,468","11,498,774"
2014,8,"10,513,731","88,661","10,602,392"
2014,9,"9,719,895","82,735","9,802,630"
2014,10,"10,261,948","98,281","10,360,229"
2014,11,"10,111,999","258,814","10,370,812"
2014,12,"10,680,966","271,549","10,952,515"
2014,TOTAL,"121,722,044","883,506","122,605,550"
2015,1,"10,443,050","266,530","10,709,581"
2015,2,"9,235,471","239,307","9,474,778"
2015,3,"11,810,347","303,470","12,113,817"
2015,4,"11,596,962","315,043","11,912,005"
2015,5,"11,758,717","330,125","12,088,842"
2015,6,"12,138,086","338,141","12,476,227"
2015,7,"12,765,655","355,605","13,121,260"
2015,8,"11,848,731","257,488","12,106,218"
2015,9,"10,923,961","209,913","11,133,874"
2015,10,"11,341,971","257,419","11,599,390"
2015,11,"11,326,383","381,025","11,707,407"
2015,12,"11,673,617","395,060","12,068,677"
2015,TOTAL,"136,862,950","3,649,127","140,512,077"
2016,1,"11,171,074","373,974","11,545,049"
2016,2,"10,522,028","349,052","10,871,080"
2016,3,"12,456,087","397,051","12,853,138"
2016,4,"12,021,456","404,577","12,426,033"
2016,5,"12,236,821","413,159","12,649,980"
2016,6,"12,714,882","435,094","13,149,976"
2016,7,"12,958,265","461,131","13,419,396"
2016,8,"12,324,002","341,341","12,665,342"
2016,9,"11,509,627","287,857","11,797,485"
2016,10,"11,931,399","296,064","12,227,463"
2016,11,"11,919,554","354,702","12,274,256"
2016,12,"12,191,400","454,646","12,646,046"
2016,TOTAL,"143,956,596","4,568,649","148,525,244"
2017,1,"11,799,123","466,562","12,265,685"
2017,2,"10,561,828","435,886","10,997,714"
2017,3,"12,918,338","518,867","13,437,205"
2017,4,"12,855,438","514,622","13,370,060"
2017,5,"12,690,399","467,743","13,158,142"
2017,6,"13,108,705","535,193","13,643,897"
2017,7,"13,588,081","573,383","14,161,464"
2017,8,"12,849,101","432,363","13,281,464"
2017,9,"11,307,257","303,773","11,611,030"
2017,10,"12,093,077","348,083","12,441,160"
2017,11,"12,122,301","455,617","12,577,917"
2017,12,"12,365,084","503,344","12,868,428"
2017,TOTAL,"148,258,730","5,555,435","153,814,165"
2018,1,"12,023,862","474,821","12,498,684"
2018,2,"10,675,372","429,291","11,104,663"
2018,3,"13,227,223","536,701","13,763,924"
2018,4,"13,072,513","498,238","13,570,751"
2018,5,"13,344,690","496,360","13,841,049"
2018,6,"13,512,464","568,527","14,080,992"
2018,7,"14,018,889","597,961","14,616,850"
2018,8,"13,124,192","423,617","13,547,810"
2018,9,"12,060,187","345,379","12,405,565"
2018,10,"13,025,413","378,760","13,404,172"
2018,11,"12,907,330","492,283","13,399,613"
2018,12,"13,027,186","537,149","13,564,335"
2018,TOTAL,"154,019,320","5,779,088","159,798,408"
2019,1,"12,274,356","482,524","12,756,880"
2019,2,"10,890,681","423,975","11,314,656"
2019,3,"13,253,090","561,624","13,814,713"
2019,4,"12,696,499","476,470","13,172,969"
2019,5,"13,000,402","471,396","13,471,798"
2019,6,"12,864,150","477,215","13,341,365"
2019,7,"13,435,239","479,797","13,915,036"
2019,8,"12,883,141","335,077","13,218,218"
2019,9,"11,999,134","247,578","12,246,711"
2019,10,"12,916,476","307,580","13,224,056"
2019,11,"12,588,374","464,259","13,052,633"
2019,12,"13,235,390","493,703","13,729,093"
2019,TOTAL,"152,036,929","5,221,198","157,258,128"
2020,1,"12,035,796","355,977","12,391,774"
2020,2,"11,183,564","326,854","11,510,418"
2020,3,"11,134,969","313,631","11,448,601"
2020,4,"5,489,390",0,"5,489,390"
2020,5,"4,877,194",,"4,877,194"
2020,6,"7,521,825",,"7,521,825"
2020,7,"9,442,501","105,256","9,547,757"
2020,8,"9,532,175","97,581","9,629,756"
2020,9,"7,191,332","96,321","7,287,653"
2020,10,"7,266,101","142,278","7,408,379"
2020,11,"8,315,720","222,956","8,538,676"
2020,12,"7,600,622","209,285","7,809,907"
2020,TOTAL,"101,591,190","1,870,138","103,461,328"
2021,1,"7,184,778",,
2021,2,"5,779,580",,
2021,3,"9,521,867",,
2021,TOTAL,"22,486,224",0,0
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
